year,company,card_number,player,raw_value,psa_8,psa_9,psa_10,source
1981,Donruss,119,Rickey Henderson,$5-15,$50+,$48,"$1,264",web search 2026
1981,Donruss,127,Jack Morris,$1,$5+,$10+,$27+,web search 2026
1981,Donruss,131,Pete Rose,$3.50,$10+,$25+,$80+,web search 2026
1981,Donruss,538,Tim Raines,$5+,$25+,$50+,$200+,web search 2026
1981,Donruss,364,Dave Winfield,$2+,$8+,$20+,$80+,web search 2026
1981,Donruss,323,Robin Yount,$2+,$8+,$20+,$80+,web search 2026
1983,Donruss,23,Nolan Ryan,$10+,$25+,$75+,$300+,web search 2026
1983,Donruss,52,Cal Ripken Jr.,$10+,$25+,$75+,$300+,web search 2026
1983,Fleer,179,Wade Boggs,$10,$25+,$50+,$200+,RC
1983,Fleer,70,Cal Ripken Jr.,$15,$30+,$75+,$300+,web search 2026
1983,Topps,83,Ryne Sandberg,$15+,$40+,$100+,$400+,web search 2026
1983,Topps,482,Tony Gwynn,$10+,$25+,$75+,$300+,web search 2026
1983,Topps,163,Cal Ripken Jr.,$10+,$25+,$75+,$300+,web search 2026
1983,Topps,360,Nolan Ryan,$3+,$10+,$25+,$100+,web search 2026
1984,Topps,8,Don Mattingly,$15+,$40+,$100+,$400+,RC
1984,Topps,182,Darryl Strawberry,$3+,$10+,$25+,$100+,RC
1985,Topps,536,Kirby Puckett,$5+,$15+,$40+,$150+,RC
1985,Topps,665,Don Mattingly,$5+,$15+,$40+,$150+,web search 2026
1985,Topps,620,Dwight Gooden,$3+,$10+,$25+,$100+,RC
1985,Fleer,82,Dwight Gooden,$3+,$10+,$25+,$100+,web search 2026
1987,Topps,320,Barry Bonds,$100,$200+,$500+,"$2,000+",RC
1987,Topps,366,Mark McGwire,$5+,$15+,$40+,$150+,RC
1987,Topps,648,Barry Larkin,$5+,$15+,$40+,$150+,RC
1987,Topps,170,Bo Jackson,$3+,$10+,$25+,$100+,RC
1987,Topps,620,Jose Canseco,$3+,$10+,$25+,$100+,web search 2026
1987,Topps,634,Rafael Palmeiro,$2+,$8+,$20+,$80+,RC
1987,Topps,340,Roger Clemens,$3+,$10+,$25+,$100+,web search 2026
1987,Topps,500,Don Mattingly,$3+,$10+,$25+,$100+,web search 2026
1987,Topps,450,Kirby Puckett,$2+,$8+,$20+,$80+,web search 2026
1987,Topps,420,Will Clark,$2+,$8+,$20+,$60+,RC
1982,Topps,21,Cal Ripken Jr.,$20+,$50+,$150+,$600+,RC
1982,Fleer,176,Cal Ripken Jr.,$15+,$40+,$100+,$400+,RC
